hashtag,count
papua,347
stophoax,237
kkb,199
menolaklupa,198
binmasnokenpolri,193
indonesianegarahukum,165
sekilasinfo,164
bersatupedulidanberbagi,146
teroris,140
tumpaskkbpapua,128
bongkarbiangrusuh,119
covid_19,117
palestinamenang,117
kkbpapua,103
democovidmenanti,102
papuaindonesia,102
papualawanhoax,99
belanegarabukanriziq,98
polriedukasiprokes,90
menujukekebalankomunal,85
70thhumaspolri,85
fpilaskarhoax,79
polrigelorakanvaksinasi,79
bijakbermedsos,78
fpisumberkeributan,75
fpipatutdibasmi,71
kamtibmasciptakondusif,70
pidatopresiden2021,69
covid19,69
polripon2021aman,68
vaksinasiperketatprokes,68
newradikalisme2021,65
opm,61
satgasnusantara,60
ppkmlonggarprokesjalan,59
polripedulianak,59
himbauanisolasiterpusat,58
polripastikanprokes,58
satgasnemangkawi,58
besmartnetizen,57
perketatdisiplinprokes,55
percepatkekebalankomunal,55
polripastikanaman,55
papuaantihoax,53
vaksinasitaatprokes5m,52
serentakvaksinasinasional,52
bijakmenggunakanmedsos,51
polriprioritaskankesehatan,50
percepatanvaksinasipolri,50
prokesmenujuendemi,50
polrisiapsiagabencana,50
lawanhoax,50
vaksintingkatkanimunitas,49
polrisalurkanbansos,49
sosialisasiedukasiprokes,49
cegahlajunyapandemi,47
kawalppkmdarurat,47
keterbukaanungkapkasus,46
bijakmenggunakanmediasosial,46
siapmenujuendemi,45
zonauang,44
apresiasirelawanvaksin,43
vaksinasipatuhi3t5m,43
kerjaprofesionalpolri,43
papuankri,43
ringkusmunarmanpembohong,42
programvaksinasimerdeka,42
sinergipolrimahasiswa,42
covid,41
harijadike73polwan,40
ponpapua2021,40
disiplinterapkan3m,39
rekrutmenpolri2020,39
sukseskanponpapua2021,37
apresiasiprogramkapolri,37
isolasiterpusatefektif,36
kkbteroris,36
tindaktegaspengacaubangsa,35
bersinergicegahpandemi,35
tangkappengacaunkri,35
stopdemosaatppkm,35
calontunggalkapolri,35
ssdm,35
polriberantaspinjol,34
torangbisa,34
indonesiabebasfpi,33
percepatdistribusibansos,33
polridisiplinkanprokes,33
kadispenau,32
vaksinasippkm5m,32
polritegashumanis,32
kapolrisiapbertugas,31
stopberitabohong,31
zonaba,30
bijakdalamaspirasi,30
polripresisihumanis,30
satgasnemangkawi2021,30
polribantukorbanbencana,30
semangatindonesiamaju,29
papuamerahputih,29
polritanggapbencana,28
penerimaananggotapolri2020,28
tangkapkkb,28
bijakbermediasosial,28
salurkancepatdantepat,27
fpiterlarang,26
ppkmdantetapvaksinasi,26
konsistenjagakamdagri,26
ponpapua,26
sayapapuasayaindonesia,26
dukungvaksinasimahasiswa,25
polrisemarakkanpon,25
festivalmuralbhayangkara,25
shopeepets,25
kkbmelanggarham,25
pendidikanuntukpapua,24
patrolibagibansos,24
mintasnack,24
jagakeamanannegeri,24
hancurkankkbdanantek2nya,23
bubarkanfpiormasilegal,23
prayfromhome,23
nataruwaspadapandemi,23
kamitidaktakut,23
fpigerombolanmunafik,22
stopprovokasi,22
polrileadiawp2021,22
pon2021,22
riziqrusakakhlakumat,21
usutsenpiilegalterorisfpi,21
polridistribusikanbansos,21
tetaptaatippkm,21
aspirasisecaraonline,21
tambahtitikpenyekatan,20
pedulikorbanbencana,20
stopkekerasan,19
damaipapuaku,19
damaiindonesiaku,19
jagakondusifitaskamtibmas,19
polritegakkanhukum,19
kepeduliankapolrisigit,19
lovepapua,19
kkbmusuhnegeri,19
terorispapua,19
fpibibitradikalisme,18
bangsatidakbutuhfpi,18
akselerasivaksinasipolri,18
kekejiankkb,18
disiplinsuksesppkm,17
dukungotsuspapua,17
bisnis,17
penerimaanpolri2020,17
nkrihargamati,17
kamipercayafpiterrorist,16
bhayangkarauntukmunegeri,16
natarupatuhiprokes,16
lanjutkanotsuspapua,16
tnipolrisolid,16
dirumahaja,16
mutualan,15
ppkmefektif,15
papua_maju,15
papua_indonesia,15
papuaisindonesia,15
